# Updated on 19/4/2024,,,,,,,
Species ,ICNP_status,Reference_DOI,Clinical_association ,Clinical_association_references_DOI,Environmental_isolation_source ,Environmental_isolation_source_reference_DOI,Comment
L. adelaidensis ,Accepted,10.1128/jcm.29.5.1004-1006.1991 ,No known clinical link ,,Cooling tower,10.1128/jcm.29.5.1004-1006.1991 ,
L. anisa ,Accepted,10.1128/aem.49.2.305-309.1985 ,Pneumonia; Pontiac fever; Arthritis,10.1371/journal.pone.0159726; 10.1016/0140-6736(90)91532-F; 10.1186/s12879-022-07475-3 ,"Potable water, cooling towers; Potting soil",10.1128/aem.49.2.305-309.1985; 10.1128/aem.56.10.2984-2988.1990 ,
L. antarctica ,Accepted,10.1128/spectrum.00424-21  ,No known clinical link ,,Antarctic lake,10.1128/spectrum.00424-21 ,
L. beliardensis ,Accepted,10.1099/00207713-51-6-1949 ,No known clinical link ,,Potable water,10.1099/00207713-51-6-1949 ,
L. birminghamensis ,Accepted,10.1128/jcm.25.11.2120-2122.1987 ,Pneumonia,10.1128/jcm.25.11.2120-2122.1987 ,Compost,10.1111/1469-0691.12381 ,
L. bononiensis ,Accepted,10.1099/ijsem.0.005512 ,No known clinical link ,,Potable water distribution system,10.1099/ijsem.0.005512 ,
L. bozemanae,Accepted,10.1007/BF02602903 ,Pneumonia,10.1016/s0025-6196(12)62667-6 ,Potable water distribution system; Potting soil; Compost,10.7326/0003-4819-103-2-205 ; 10.1128/aem.56.10.2984-2988.1990; 10.1111/j.1469-0691.2009.03009.x ,
L. brunensis ,Accepted,10.1016/0769-2609(88)90102-0 ,Potentially linked to endocarditis,10.1128/jcm.01066-11  ,Cooling tower,10.1016/0769-2609(88)90102-0  ,
L. busanensis ,Accepted,10.1099/ijs.0.02268-0 ,No known clinical link ,,Cooling tower,10.1099/ijs.0.02268-0 ,
L. cardiaca ,Accepted,10.1099/ijs.0.039248-0 ,Endocarditis,10.1099/ijs.0.039248-0 ,No confirmed source ,,
L. cherrii ,Accepted,10.1099/00207713-35-1-50 ,Pneumonia,10.1007/s11033-021-06704-3 ,Potable water,10.1099/00207713-35-1-50 ,
L. cincinnatiensis ,Accepted,10.1128/jcm.26.3.418-420.1988 ,Pneumonia; Septic arthritis; Soft tissue abscesses ,10.1128/jcm.26.3.418-420.1988; 10.1007/s15010-016-0964-1; 10.1128/JCM.39.12.4568-4570.2001  ,Compost,10.1111/j.1469-0691.2009.03009.x  ,
L. clemsonensis ,Accepted,10.1111/1348-0421.12439   ,Pneumonia,10.1111/1348-0421.12439 ,No confirmed source ,,
L. donaldsonii ,Not validly published,10.1099/00207713-46-2-526; 10.1099/00207713-49-2-397,Pneumonia,10.1128/JCM.00380-15  ,Potable water distribution,10.1016/j.watres.2021.117013,
L. drancourtii ,Accepted,10.1099/ijs.0.02455-0 ,Pneumonia,10.1111/j.1574-6976.2009.00207.x,Hosted by ubiquituous amoeba,10.1099/ijs.0.02455-0,
L. dresdenensis ,Accepted,10.1099/ijs.0.017863-0 ,No known clinical link ,,River water,10.1099/ijs.0.017863-0 ,
L. drozanskii ,Accepted,10.1099/00207713-51-3-1151   ,Pneumonia ,10.1016/S0732-8893(00)00181-4,Engineered water environment,10.1099/00207713-51-3-1151,
L. dumoffii ,Accepted,10.1007/BF02602903; 10.1099/00207713-31-2-111 ,Pneumonia,10.1086/341087 ,Potting soil; Cooling tower,10.1128/aem.56.10.2984-2988.1990; 10.1099/00207713-35-1-50 ,
L. erythra ,Accepted,10.1099/00207713-35-1-50 ,Pneumonia,10.1086/586741 ,Cooling tower,10.1099/00207713-35-1-50 ,
L. fairfieldensis ,Accepted,10.1128/jcm.29.3.475-478.1991 ,No known clinical link ,,Cooling tower ,10.1128/jcm.29.3.475-478.1991 ,
L. fallonii ,Accepted,10.1099/00207713-51-3-1151   ,Pneumonia ,10.1016/S0732-8893(00)00181-4,Pluvial runoff,10.1128/AEM.00131-12,
L. feeleii,Accepted,10.7326/0003-4819-100-3-333 ,Pneumonia; Pontiac fever,10.1086/341087; 10.7326/0003-4819-100-3-333 ,Compost,10.1111/1469-0691.12381 ,
L. geestiana ,Accepted,10.1099/00207713-43-2-329  ,No known clinical link ,,Building hot water,10.1099/00207713-43-2-329 ,
L. genomospecies 1 ,Not validly published,10.1099/00207713-46-3-631 ,No known clinical link,,Potable water,10.1099/00207713-46-3-631 ,
L. gormanii ,Accepted,10.1128/jcm.12.5.718-721.1980,Pneumonia and neutropenic fever,10.1128/jcm.00380-15,Compost; Potting soil,10.1111/1469-0691.12381; 10.1128/aem.56.10.2984-2988.1990 ,
L. gratiana ,Accepted,10.1016/0923-2508(89)90086-7   ,No known clinical link ,,Thermal spa,10.1016/0923-2508(89)90086-7   ,
L. gresilensis ,Accepted,10.1099/00207713-51-6-1949 ,No known clinical link ,,Thermal spa,10.1099/00207713-51-6-1949 ,
L. hackeliae,Accepted,10.1099/00207713-35-1-50 ,Pneumonia,10.1099/00207713-35-1-50 ,No known environmental isolation source,,
L. impletisoli ,Accepted,10.1016/j.syapm.2006.11.005   ,No known clinical link ,,Contaminated soil,10.1016/j.syapm.2006.11.005 ,
L. indianapolisensis,Not validly published,10.1016/j.ijid.2018.01.024,Pulmonary abscess,10.1016/j.ijid.2018.01.024,No known environmental isolation source,,
L. israelensis ,Accepted,10.1099/00207713-36-3-368 ,No known clinical link ,,Oxidation ponds,10.1099/00207713-36-3-368 ,
L. jamestowniensis ,Accepted,10.1099/00207713-35-1-50 ,Pneumonia,10.1016/j.jiac.2016.07.015 ,Soil; Compost ,10.1099/00207713-35-1-50; 10.1111/j.1469-0691.2009.03009.x ,
L. jeonii (candidatus) ,Not validly published,10.1111/j.1462-2920.2004.00659.x  ,No known clinical link ,,Endosymbiont of sediment-dwelling amoeba,10.1111/j.1462-2920.2004.00659.x  ,
L. jordanis ,Accepted,10.1128/jcm.15.2.290-297.1982   ,Respiratory tract infection,10.1128/JCM.00314-07 ,"River water, sewage", 10.1128/jcm.15.2.290-297.1982,
L. lansingensis ,Accepted,10.1128/jcm.30.9.2398-2401.1992   ,Pneumonia,10.1128/jcm.30.9.2398-2401.1992 ,No known environmental isolation source,,
L. londiniensis ,Accepted,10.1099/00207713-43-2-329 ,Pneumonia,10.1128/jcm.02182-12 ,Cooling tower,10.1099/00207713-43-2-329 ,
L. longbeachae,Accepted,10.7326/0003-4819-94-6-739 ,Pneumonia; Wound infection ,10.7326/0003-4819-94-6-739; 10.3389/fcimb.2023.1178130 ,Compost; Potting soil; Potable water,10.1111/1469-0691.12381; 10.1128/aem.56.10.2984-2988.1990 ; 10.1017/s0950268800057502,
L. lytica ,Accepted,10.1099/00207713-46-2-526   ,Pneumonia,10.1111/j.1574-6976.2009.00207.x ,Wastewater treatment plant,10.1128/AEM.00131-12,
L. maceachernii ,Accepted,10.1099/00207713-35-1-50 ,Pneumonia,10.1128/JCM.00380-15 ,Evaporator,10.1099/00207713-35-1-50 ,
L. maioricensis  ,Accepted,10.1099/ijsem.0.005686 ,No known clinical link ,,Water distribution system,10.1099/ijsem.0.005686 ,
L. massiliensis ,Accepted,10.1099/ijs.0.037853-0   ,No known clinical link ,,Water samples,10.1099/ijs.0.037853-0   ,
L. micdadei ,Accepted,10.1007/BF02601800 ,Pneumonia; Lochgoilhead fever; Prosthetic joint infection; Pontiac fever,10.1007/BF02601800; 10.1016/S0140-6736(89)91319-6; 10.1128/jcm.00770-11; 10.1136/jcp.43.6.479  ,Compost; Whirpool water,10.1111/1469-0691.12381; 10.1136/jcp.43.6.479 ,Correct name of L. pittsburghensis
L. monrovica ,Not validly published,https://www.ncbi.nlm.nih.gov/nuccore/437831,No known clinical link ,,No known environmental isolation source,,
L. moravica ,Accepted,10.1016/0769-2609(88)90102-0 ,No known clinical link ,,Cooling tower,10.1016/0769-2609(88)90102-0  ,
L. nagasakiensis ,Accepted,10.1099/ijs.0.027193-0 ,Pneumonia,10.1099/ijs.0.027193-0 ,Hot spring water,0.4265/bio.16.171,
L. nautarum ,Accepted,10.1099/00207713-43-2-329 ,No known clinical link ,,Building hot water,10.1099/00207713-43-2-329 ,
L. norrlandica ,Accepted,10.1099/ijs.0.068940-0 ,No known clinical link ,,Wood processing plants,10.1099/ijs.0.068940-0 ,
L. oakridgensis ,Accepted,10.1128/aem.45.2.536-545.1983  ,Pneumonia,10.1128/jcm.21.3.462-463.1985 ,Cooling tower; Garden waste,10.1128/aem.45.2.536-545.1983; 10.1111/j.1469-0691.2009.03009.x ,
L. pneumophila spp fraseri ,Accepted,10.1128/jcm.26.9.1695-1703.1988 ,Pneumonia,10.3201/eid2804.211433 ,Cooling tower,10.1128/genomea.01525-16,
L. pneumophila spp pascullei ,Accepted,10.1128/jcm.26.9.1695-1703.1988 ,Pneumonia,10.1128/JCM.00380-15 ,Potable water,10.1128/genomeA.00335-16,
L. pneumophila spp pneumophila ,Accepted,10.1128/jcm.26.9.1695-1703.1988 ,Pneumonia,10.1128/JCM.00380-15 ,Hot building water ,10.1128/MRA.00384-19,
L. parisiensis ,Accepted,10.1099/00207713-35-1-50 ,Pneumonia,10.1128/jcm.35.7.1706-1709.1997 ,Cooling tower,10.1099/00207713-35-1-50,
L. pneumophila,Accepted,10.7326/0003-4819-90-4-656,Pneumonia; Septic arthritis with probable endocarditis (SG1),10.7326/0003-4819-90-4-656; 10.1097/RHU.0000000000000128 ,"Potable water; Potting soil; Compost; Runoff water, wastewater treatment plant:  10.1128/aem.48.4.830-832.1984; 10.1128/aem.56.10.2984-2988.1990  ; 10.1111/1469-0691.12381; 10.1128/AEM.00131-12 ",,
L. polyplacis (candidatus),Not validly published,10.1093/gbe/evx217,No known clinical link ,,Tick symbiont,10.1093/gbe/evx217,
L. qingyii ,Accepted,10.1099/ijsem.0.003421 ,No known clinical link ,,Water samples,10.1099/ijsem.0.003421 ,
L. quateirensis ,Accepted,10.1099/00207713-43-2-329 ,No known clinical link ,,Compost; Shower water,10.1111/1469-0691.12381; 10.1099/00207713-43-2-329 ,
L. quinlivanii,Accepted,10.1007/BF01569569; 10.1111/j.1365-2672.1991.tb03808.x (SG2),Pneumonia,10.3138/jammi-2019-0021 ,Water from air conditioning system,10.1007/BF01569569 ,
L. resiliens,Not validly published,10.3390/pathogens13030250,No known clinical link,,Hot building water,10.3390/pathogens13030250,
L. rowbothamii ,Accepted,10.1099/00207713-51-3-1151    ,Pneumonia,10.1111/j.1574-6976.2009.00207.x  ,Engineered water systems,10.1099/00207713-51-3-1151,
L. rubrilucens ,Accepted,10.1099/00207713-35-1-50 ,Pneumonia,10.1128/AEM.00721-18 ,Hot spring; Potable water,10.4265/bio.17.101; 10.1016/j.ijheh.2017.10.011  ,
L. sainthelensi,Accepted,10.1128/aem.47.2.369-373.1984 ,Pneumonia,10.1186/s12879-021-06651-1 ,Potable water; Freshwater; Compost; Wastewater treatment plant,10.1099/00207713-35-1-50 ; 10.1128/aem.47.2.369-373.1984; 10.1111/1469-0691.12381; 10.1128/AEM.00131-12 ,
L. santicrucis ,Accepted,10.1099/00207713-35-1-50  ,No known clinical link ,,Potable water,10.1099/00207713-35-1-50  ,
L. saoudiensis ,Accepted,10.1099/ijsem.0.001357   ,No known clinical link ,,Sewage water,10.1099/ijsem.0.001357   ,
L. septentrionalis ,Accepted,10.1099/ijsem.0.004592 ,No known clinical link ,,River and lake water ,10.1099/ijsem.0.004592 ,
L. shakespearei ,Accepted,10.1099/00207713-42-3-404   ,No known clinical link ,,Cooling tower: 10.1099/00207713-42-3-404   ,,
L. spiritensis ,Accepted,10.1099/00207713-35-1-50 ,No known clinical link ,,Compost,10.1111/1469-0691.12381  ,
L. steelei ,Accepted,10.1099/ijs.0.035709-0 ,Pneumonia (not confirmed),10.1099/ijs.0.035709-0    ,No known environmental isolation source,,
L. steigerwaltii ,Accepted,10.1099/00207713-35-1-50 ,No known clinical link ,,Tap water,10.1099/00207713-35-1-50,
L. taurinensis ,Accepted,10.1099/00207713-49-2-397   ,No known clinical link ,,Water samples,10.1099/00207713-49-2-397   ,
L. thermalis ,Accepted,10.1111/1348-0421.12366   ,No known clinical link ,,Hot spring,10.1111/1348-0421.12366   ,
L. tucsonensis ,Accepted,10.1128/jcm.27.8.1831-1834.1989   ,Pneumonia,10.1128/jcm.27.8.1831-1834.1989  ,No known environmental isolation source,,
L. tunisiensis ,Accepted,10.1099/ijs.0.037853-0    ,No known clinical link ,,Water samples  ,10.1099/ijs.0.037853-0  ,
L. wadsworthii ,Accepted,10.7326/0003-4819-97-6-809 ,Pneumonia,10.7326/0003-4819-97-6-809 ,Runoff and sewer water,10.1128/AEM.00131-12,
L. waltersii ,Accepted,10.1099/00207713-46-3-631 ,Pneumonia,10.1111/j.1651-2227.2005.tb01828.x ,Drinking water,10.1099/00207713-46-3-631 ,
L. worsleiensis ,Accepted,10.1099/00207713-43-2-329     ,Pneumonia,10.3201/eid1202.050434 ,Cooling tower,10.1099/00207713-43-2-329 ,
L. yabuuchiae ,Accepted,10.1016/j.syapm.2006.11.005 ,No known clinical link ,,Contaminated soil,10.1016/j.syapm.2006.11.005 ,
